id,cargo,senioridade,setor,salario,regiao,empresa,modalidade,created_at,updated_at,ano,em_alta,area,especialidade
16,"Mestre de Obras",NULL,"Construção Civil",4501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 02:05:15",2025,NULL,NULL,NULL
17,"MESTRE DE OBRAS",NULL,"Construção Civil",5501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 02:05:15",2025,NULL,NULL,NULL
18,"Mestre de Obras",NULL,"Construção Civil",5501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 02:05:15",2025,NULL,NULL,NULL
19,"Servente de Pedreiro",NULL,"Construção Civil",2501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
20,"Servente de Pedreiro",NULL,"Construção Civil",2501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
21,"Servente de Pedreiro",NULL,"Construção Civil",2501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
22,"Servente de Pedreiro",NULL,"Construção Civil",2000.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
23,"Servente de Pedreiro",NULL,"Construção Civil",2000.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
24,"Ajudante de Elétrica",NULL,"Construção Civil",2501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
25,"ajudante eletricista",NULL,"Construção Civil",2501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
26,"Ajudante de Eletricista",NULL,"Construção Civil",2501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
27,"Ajudante de Eletricista",NULL,"Construção Civil",2000.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
28,"Ajudante de Eletricista",NULL,"Construção Civil",2000.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
29,"Ajudante de Eletricista",NULL,"Construção Civil",2501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
30,"Auxiliar de Eletricista",NULL,"Construção Civil",2501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
31,"Auxiliar de Manutenção Elétrica",NULL,"Construção Civil",2501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
32,"Eletricista Auxiliar",NULL,"Construção Civil",3501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
33,"Auxiliar de Manutenção Elétrica",NULL,"Construção Civil",2000.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
34,"Montador Eletricista Auxiliar",NULL,"Construção Civil",3501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
35,"Ajudante de Eletricista",NULL,"Construção Civil",2000.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
36,"AJUDANTE DE MONTADOR DE ANDAIMES",NULL,"Construção Civil",2000.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
37,"Montador de Estruturas Metálicas",NULL,"Construção Civil",2501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
38,"Montador de Estruturas Metálicas",NULL,"Construção Civil",2501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
39,"Montador de Estrutura Metálica",NULL,"Construção Civil",3501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
40,"Montador de Estrutura Metálica",NULL,"Construção Civil",2501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
41,"Montador de Estrutura Metálica",NULL,"Construção Civil",3501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
42,"Montador de Estruturas Metálicas",NULL,"Construção Civil",2000.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
43,"Montador de Estruturas Metalicas",NULL,"Construção Civil",3501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
44,"Montador de Estrutura Metálica",NULL,"Construção Civil",2501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
45,"Montador de Estruturas Metálicas",NULL,"Construção Civil",2501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
46,"Técnico em Edificação",NULL,"Construção Civil",3501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
47,"Auxiliar Técnico em Edificações",NULL,"Construção Civil",2501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
48,"Técnico de Edificações",NULL,"Construção Civil",2501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
49,"Técnico em Edificações",NULL,"Construção Civil",3501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
50,"Técnico em Edificações",NULL,"Construção Civil",2501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
51,"Técnico em Edificações",NULL,"Construção Civil",2501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
52,"Técnico em Edificações",NULL,"Construção Civil",6501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
53,"Técnico em Edificações Júnior",jr,"Construção Civil",3501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
54,"Técnico de Edificações",NULL,"Construção Civil",2501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
55,"Técnico em Edificações",NULL,"Construção Civil",3501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
56,"Motorista Operador de Betoneira",NULL,"Construção Civil",3501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
57,"Motorista Operador de Betoneira",NULL,"Construção Civil",3501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
58,Vidraceiro,NULL,"Construção Civil",2501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
59,Vidraceiro,NULL,"Construção Civil",2501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
60,vidraceiro,NULL,"Construção Civil",2000.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
61,Vidraceiro,NULL,"Construção Civil",2000.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
62,"Ajudante de Vidraceiro",NULL,"Construção Civil",2000.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
63,Vidraceiro,NULL,"Construção Civil",2501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
64,Vidraceiro,NULL,"Construção Civil",2501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
65,Vidraceiro,NULL,"Construção Civil",2501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
66,Vidraceiro,NULL,"Construção Civil",2000.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
67,Vidraceiro,NULL,"Construção Civil",2501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
68,"Supervisor de Vendas",NULL,"Construção Civil",9501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
69,"Técnico de Enfermagem",NULL,"Construção Civil",2501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
70,"Analista de Treinamento Técnico",NULL,"Construção Civil",5501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
71,"Auxiliar Técnico em Edificações",NULL,"Construção Civil",2501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
72,"Técnico em Eletrônica Pleno",pl,"Construção Civil",2501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
73,"Auxiliar Técnico - Aparelhos Auditivos",NULL,"Construção Civil",2000.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
74,"Suporte Técnico",NULL,"Construção Civil",2501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
75,"CONSULTOR TÉCNICO DE TELECOMUNICAÇÕES",NULL,"Construção Civil",3501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
76,"Especialista Mecânico",NULL,"Construção Civil",4501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
77,"Técnico de Enfermagem",NULL,"Construção Civil",4501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
78,"Técnico em Eletrônica",NULL,"Construção Civil",2501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
79,"Operador de Torno CNC",NULL,"Industrial e Produção",2000.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
80,"Operador de Torno CNC",NULL,"Industrial e Produção",2501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
81,"Operador de Torno CNC",NULL,"Industrial e Produção",2501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
82,"Operador de Torno CNC",NULL,"Industrial e Produção",2501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
83,"Operador de Torno CNC",NULL,"Industrial e Produção",2501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
84,"Programador e Operador Torno CNC",NULL,"Industrial e Produção",4501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
85,"Operador de Torno CNC",NULL,"Industrial e Produção",2501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
86,"Operador de Torno CNC",NULL,"Industrial e Produção",2501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
87,"programador e operador de torno cnc",NULL,"Industrial e Produção",4501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
88,"OPERADOR/PROGRAMADOR TORNO CNC ",NULL,"Industrial e Produção",2501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
89,"Técnico em Automação Industrial",NULL,"Industrial e Produção",4501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
90,"Analista de Treinamento Técnico",NULL,"Industrial e Produção",5501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
91,"Técnico Automação Industrial",NULL,"Industrial e Produção",3501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
92,"TÉCNICO AUTOMAÇÃO INDUSTRIAL",NULL,"Industrial e Produção",3501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
93,"Técnico de Automação Industrial Júnior",jr,"Industrial e Produção",2000.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
94,"Auxiliar Técnico em Mecatrônica",NULL,"Industrial e Produção",2501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
95,"Consultor de Suporte Técnico",NULL,"Industrial e Produção",6501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
96,"Técnico de Programação",NULL,"Industrial e Produção",2501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
97,"Ajustador Mecânico",NULL,"Industrial e Produção",2000.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
98,"Ajustador Mecânico",NULL,"Industrial e Produção",3501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
99,"Ajustador Mecânico",NULL,"Industrial e Produção",2501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
100,"Ajustador Mecânico",NULL,"Industrial e Produção",3501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
101,"MEIO OFICIAL AJUSTADOR MECANICO",NULL,"Industrial e Produção",2501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
102,"Ajustador Mecânico",NULL,"Industrial e Produção",3501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
103,"Mecânico de Ar Condicionado",NULL,"Industrial e Produção",2000.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
104,"MECANICO DE AR CONDICIONADO",NULL,"Industrial e Produção",3501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
105,"Mecânico de ar condicionado",NULL,"Industrial e Produção",2000.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
106,"Mecanico de ar condicionado",NULL,"Industrial e Produção",2501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
107,"Mêcanico de Ar Condicionado",NULL,"Industrial e Produção",3501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
108,"Operador de Caldeira",NULL,"Industrial e Produção",3501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
109,"Fundidor de Metais",NULL,"Industrial e Produção",2501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
110,"FUNDIDOR DE METAIS",NULL,"Industrial e Produção",2501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
111,"Supervisor produção industrial de Alimentos",NULL,"Industrial e Produção",3501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
112,"ENCARREGADO DE PRODUÇÃO",NULL,"Industrial e Produção",4501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
113,"Supervisor de Produção da Indústria Alimentícia",NULL,"Industrial e Produção",7501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
114,"Supervisor de Produção Industrial",NULL,"Industrial e Produção",7501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
115,"Operador de Extrusora",NULL,"Industrial e Produção",2000.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
116,"operador de extrusora",NULL,"Industrial e Produção",2501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
117,"Operador de Extrusora",NULL,"Industrial e Produção",2501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
118,"Operador de Extrusora",NULL,"Industrial e Produção",2501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
119,"Operador de Máquina Extrusor",NULL,"Industrial e Produção",2501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
120,"Operador de Extrusora",NULL,"Industrial e Produção",2501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
121,"Operador de Extrusora",NULL,"Industrial e Produção",3501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
122,"Operador de Extrusor",NULL,"Industrial e Produção",3501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
123,"Operador de Extrusora",NULL,"Industrial e Produção",2501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
124,"Operador de Extrusora Balão",NULL,"Industrial e Produção",3501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
125,"Operador de Prensa",NULL,"Industrial e Produção",2501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
126,"Operador de prensa",NULL,"Industrial e Produção",2501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
127,"OPERADOR DE PRENSA",NULL,"Industrial e Produção",2501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
128,"Operador de Prensa",NULL,"Industrial e Produção",2501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
129,"Operador de Prensas",NULL,"Industrial e Produção",2501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
130,"Operador de Prensa",NULL,"Industrial e Produção",2000.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
131,"Operador de Prensa",NULL,"Industrial e Produção",2501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
132,"Operador de Prensa",NULL,"Industrial e Produção",2501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
133,"Operador de Prensa",NULL,"Industrial e Produção",3501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
134,"Operador de Prensa",NULL,"Industrial e Produção",2501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
135,"Operador de Prensa",NULL,"Industrial e Produção",2501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
136,Soldador,NULL,"Industrial e Produção",2501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
137,"Técnico Soldador Mecânico",NULL,"Industrial e Produção",2501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
138,Soldador,NULL,"Industrial e Produção",2501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
139,Soldador,NULL,"Industrial e Produção",2501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
140,"Soldador D",NULL,"Industrial e Produção",3501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
141,"Soldador MIG",NULL,"Industrial e Produção",2501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
142,"SERRALHEIRO SOLDADOR",NULL,"Industrial e Produção",2501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
143,"Soldador Montador",NULL,"Industrial e Produção",3501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
144,"SOLDADOR TIG",NULL,"Industrial e Produção",4501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
145,"soldador MIG",NULL,"Industrial e Produção",2501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
146,"Soldador MIG",NULL,"Industrial e Produção",3501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
147,"Motorista Entregador",NULL,"Transportes e Logística",2000.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
148,"Vigilante Condutor ",NULL,"Transportes e Logística",2501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
149,"Motorista Entregador",NULL,"Transportes e Logística",2000.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
150,Motorista,NULL,"Transportes e Logística",3501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
151,"Motorista Categoria B",NULL,"Transportes e Logística",2501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
152,"Motorista Categoria D",NULL,"Transportes e Logística",3501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
153,"Motorista Particular",NULL,"Transportes e Logística",3501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
154,"Ajudante de Motorista",NULL,"Transportes e Logística",2501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
155,Motorista,NULL,"Transportes e Logística",3501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
156,"Motorista Operacional Categoria D",NULL,"Transportes e Logística",2501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
157,"Motorista Categoria B",NULL,"Transportes e Logística",2501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
158,"Motorista Categoria C e D",NULL,"Transportes e Logística",2501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
159,"Motorista Categoria B",NULL,"Transportes e Logística",2501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
160,"MOTORISTA DE VAN ESCOLAR",NULL,"Transportes e Logística",2000.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
161,"Motorista de Van",NULL,"Transportes e Logística",2000.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
162,"Motorista Categoria E",NULL,"Transportes e Logística",2501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
